surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data,outcome
1.0,0.0,530001.0,38.1,132.0,24.0,1.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,0.0,6.5,1.0,1.0,57.0,8.5,2.0,3.4,1.0,2209.0,0.0,0.0,0.0,0.0
1.0,0.0,533836.0,37.5,88.0,12.0,1.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,33.0,64.0,2.0,2.0,1.0,2208.0,0.0,0.0,0.0,1.0
1.0,0.0,529812.0,38.3,120.0,28.0,1.0,3.0,5.0,1.0,2.0,3.0,0.0,2.0,2.0,3.5,2.3333333333333335,0.0,37.0,6.4,2.0,3.4,1.0,5124.0,0.0,0.0,0.0,2.0
1.0,0.0,5262541.0,37.1,72.0,30.0,0.0,3.0,5.0,2.0,3.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,53.0,7.0,1.0,3.9,1.0,2208.0,0.0,0.0,1.0,2.0
0.0,0.0,5299629.0,38.0,52.0,48.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,2.0,0.0,7.0,3.0,3.0,47.0,7.3,1.0,2.6,0.0,0.0,0.0,0.0,1.0,2.0
0.0,0.0,529642.0,38.1,56.0,32.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,5.0,1.0,2.0,49.0,8.0,1.0,2.8,0.0,0.0,0.0,0.0,1.0,2.0
1.0,0.0,534787.0,38.3,36.0,16.0,1.0,3.0,3.0,1.0,4.0,4.0,3.0,0.0,1.0,2.0,1.0,0.0,43.0,75.0,1.0,1.0,0.0,3111.0,0.0,0.0,1.0,1.0
0.0,0.0,529461.0,39.2,114.0,24.0,1.0,3.0,4.0,2.0,3.0,3.0,0.0,2.0,2.0,4.5,0.0,1.0,57.0,7.6,2.0,4.5,1.0,2207.0,0.0,0.0,1.0,0.0
0.0,0.0,528742.0,37.4,48.0,12.0,1.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,7.0,3.0,2.0,40.0,7.8,1.0,2.6,0.0,0.0,0.0,0.0,1.0,2.0
1.0,0.0,529640.0,38.3,129.0,48.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,4.4,0.6666666666666666,0.3333333333333333,57.0,4.9,1.0,2.9,1.0,3209.0,0.0,0.0,1.0,0.0
1.0,0.0,529642.0,38.3,84.0,48.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,5.3,0.0,1.0,46.0,7.5,1.0,2.0,1.0,2208.0,0.0,0.0,1.0,0.0
